string_id	form_key	editor_id	source	target	provenance
0x00000067	00087F:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorSteelPlateThighBoots	Steel Plate Thigh Boots	鋼鈑過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000069	000881:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorThievesGuildThighBootsPlayer	Thieves Guild Thigh Boots	盜賊公會過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x0000006B	000883:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorThievesGuildLeaderThighBoots	Guild Master's Thigh Boots	盜賊會長過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x0000006D	00089D:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorThievesGuildThighBootsPlayerImproved	Thieves Guild Thigh Boots	盜賊公會過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x0000006F	0008A7:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorSteelBikiniCuirass	Steel Bikini	鋼製比基尼	CT77 custom; Skyrim 8.20 terminology
0x00000071	0008AB:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorGuardCuirassFalkreathAlt	Falkreath Guard Variant	佛克瑞斯領衛兵護甲（變體）	CT77 custom; Skyrim 8.20 terminology
0x00000073	0008AD:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorGuardCuirassHjaalmarchAlt	Hjaalmarch Guard Variant	雅爾陲領衛兵護甲（變體）	CT77 custom; Skyrim 8.20 terminology
0x00000075	0008AF:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorGuardCuirassMarkarthAlt	Markarth Guard Variant	馬卡斯城衛兵護甲（變體）	CT77 custom; Skyrim 8.20 terminology
0x00000077	0008B1:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorGuardCuirassRiftenAlt	Riften Guard Variant	裂谷城衛兵護甲（變體）	CT77 custom; Skyrim 8.20 terminology
0x00000079	0008B3:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorGuardCuirassSolitudeAlt	Solitude Guard Variant	獨孤城衛兵護甲（變體）	CT77 custom; Skyrim 8.20 terminology
0x0000007B	0008B5:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorGuardCuirassThePaleAlt	Pale Guard Variant	蒼原領衛兵護甲（變體）	CT77 custom; Skyrim 8.20 terminology
0x0000007D	0008B7:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorGuardCuirassWhiterunAlt	Whiterun Guard Variant	白漫城衛兵護甲（變體）	CT77 custom; Skyrim 8.20 terminology
0x0000007F	0008C0:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorGuardCuirassWinterholdAlt	Winterhold Guard Variant	冬駐領衛兵護甲（變體）	CT77 custom; Skyrim 8.20 terminology
0x00000081	0008CB:Remodeled Armor - Vanilla Replacer.esp	CT77DLC1IvoryThighBoots	Ancient Falmer Thigh Boots	古代法莫過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000083	0008CF:Remodeled Armor - Vanilla Replacer.esp	CT77DLC1ArmorDawnguardThighBootsHeavy	Dawnguard Heavy Thigh Boots	黎明守衛重型過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000085	0008D0:Remodeled Armor - Vanilla Replacer.esp	CT77DLC1ArmorDawnguardThighBootsLight	Dawnguard Thigh Boots	黎明守衛輕型過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000087	0008D6:Remodeled Armor - Vanilla Replacer.esp	CT77DLC2ArmorStalhrimLightThighBoots	Stalhrim Light Thigh Boots	剛冰石輕型過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x00000089	0008DA:Remodeled Armor - Vanilla Replacer.esp	CT77ArmorDwarvenThighBoots	Dwarven Thigh Boots	矮人過膝長靴	CT77 custom; Skyrim 8.20 terminology
0x0000008B	000852:Remodeled Armor - Vanilla Replacer.esp	CT77RemodeledArmorChest	Remodeled Armor Chest	重塑護甲箱	CT77 custom; Skyrim 8.20 terminology
