$FF_ResetHorseDo	正在設定隨從馬匹
$FF_RangeSetCloseAll	所有隨從設定為近距離
$FF_RangeSetMed	隨從設定為中距離
$FF_RangeSetMedAll	所有隨從設定為中距離
$FF_RangeSetFar	隨從設定為遠距離
$FF_RangeSetFarAll	隨從設定為遠距離
$FF_RangeSetCloseCbt	隨從設定為近距離戰鬥
$FF_RangeSetCloseAllCbt	所有隨從設定為近距離戰鬥
$FF_RangeSetMedCbt	隨從設定為中距離戰鬥
$FF_RangeSetMedAllCbt	所有隨從設定為中距離戰鬥
$FF_RangeSetFarCbt	隨從設定為遠距離戰鬥
$FF_RangeSetFarAllCbt	隨從設定為遠距離戰鬥
$FF_RoleSet	隨從角色設定
$FF_CombatStyleSet	隨從戰鬥風格設定
$FF_CombatStyleWarn	無法設定非獨特角色的戰鬥風格
$FF_Exit	[離開]
$FF_All	- 全部 -
$FF_Refresh	（重新整理）
$FF_TakeTorches	拿取所有火把
$FF_GiveTorches	返還所有火把
$FF_RefreshGear	重新整理全部冒險裝備
$FF_ToggleWeaponAll	僅在戰鬥中拿武器 (全部)
$FF_ToggleShieldAll	僅在戰鬥中拿盾牌 (全部)
$FF_AllWaitFollow	等待/跟隨/在我身後 所有隨從 >
$FF_InventoryLoot	戰利品（搜刮）/物品欄 >
$FF_SummonAll	召喚 >
$FF_SandboxToggle	沙盒切換
$FF_HistoryFav	歷史/收藏/欄位 >
$FF_RangeAll	設定範圍 所有隨從 >
$FF_TraitsAll	設定特性 所有隨從 >
$FF_DmgMultAll	動態傷害倍數 >
$FF_DismissAll	解散 所有隨從
$FF_AllFollowRange	跟隨範圍 所有隨從 >
$FF_AllCombatRange	戰鬥範圍 所有隨從 >
$FF_ShowHistory	顯示歷史
$FF_SubSingle	單一命令 >
$FF_DoFavor	幫助
$FF_Recruit	招募
$FF_WaitFollow	等待/跟隨 >
$FF_Extras	其他選項 >
$FF_IsWaiting	正在等你
$FF_IsFollowing	正在跟隨你
$FF_Range	設定範圍 >
$FF_FollowClose	跟隨範圍：近 >
$FF_FollowMed	跟隨範圍：中 >
$FF_FollowFar	跟隨範圍：遠 >
$FF_CombatClose	戰鬥範圍：近 >
$FF_CombatMed	戰鬥範圍：中 >
$FF_CombatFar	戰鬥範圍：遠 >
$FF_EnforceRangeOn	強制戰鬥距離（開啟）
$FF_EnforceRangeOff	強制戰鬥距離（關閉）
$FF_Traits	設定特性 >
$FF_SetCraft	製作與互動 >
$FF_SetHomeBase	設定據點 >
$FF_SendHome	安排回家（傳送）
$FF_CraftTorchOn	製作火把（開啟）
$FF_CraftTorchOff	製作火把（關閉）
$FF_CraftArrowsOn	製作箭矢（開啟）
$FF_CraftBoltsOn	製作弩矢（開啟）
$FF_CraftArrowsOff	製作箭矢（關閉）
$FF_CraftPotionsOn	製作藥水（開啟）
$FF_CraftPotionsOff	製作藥水（關閉）
$FF_SharpWeaponsOn	鋒利武器（開啟）
$FF_SharpWeaponsOff	鋒利武器（關閉）
$FF_DrinkOn	在酒館喝酒（開啟）
$FF_DrinkOff	在酒館喝酒（關閉）
$FF_LoadSaveTweaks	載入／儲存設定 >
$FF_SaveFol	儲存隨從設定
$FF_LoadFol	載入隨從設定
$FF_LoadSaveTitle	載入／儲存設定
$FF_Equip	設定裝備/物品欄 >
$FF_Teach	教授法術 >
$FF_TeachInvalid	教授法術（無）
$FF_Dismiss	解散
$FF_Push	推（修復小問題）
$FF_SubAll	命令 所有隨從 >
$FF_CommandAll	命令所有隨從
$FF_Followers	隨從
$FF_WaitMenu	等待/跟隨/在我身後
$FF_RangeTitle	範圍
$FF_FollowRange	跟隨範圍
$FF_CombatRange	戰鬥範圍
$FF_TeachTitle	教授法術
$FF_EquipTitle	裝備/物品欄
$FF_CraftTitle	製作/互動
$FF_TraitsTitle	特性
$FF_DmgMultTitle	動態傷害倍數
$FF_HeadwearTitle	頭飾
$FF_SkillTitle	技能（排序）
$FF_SkillMenu	技能 >
$FF_SpellTitle	法術
$FF_SpellMenu	法術 >
$FF_BuffSharpen	磨利武器（增益）
$FF_BuffCourage	勇氣（增益）
$FF_BuffInspired	激勵（增益）
$FF_InvTitle	物品欄
$FF_InvMenu	物品欄 >
$FF_HistoryFavTitle	歷史/收藏
$FF_ExtrasTitle	額外
$FF_SummonTitle	召喚隨從
$FF_FavoritesTitle{}	收藏 ({})
$FF_Favorites	顯示收藏 >
$FF_HistoryTitle{}	歷史({})
$FF_LootTitle	戰利品（搜刮）/物品欄
$FF_RenCategory	重新命名分類
$FF_RemCategory	移除分類
$FF_FavDefault	預設收藏名單
$FF_FavEmpty	空
$FF_FavoritesMax	收藏名單已達 25 人上限
$FF_FavoritesAdded	已將隨從加入收藏
$FF_FavoritesRemoved	已移除收藏的隨從
$FF_FavoriteRemove	從收藏中移除隨從
$FF_FavoriteAdd	加入收藏 >
$FF_FavoriteFull	（收藏名單已滿）
$FF_FavoritesAdjust	已從收藏中移除一名或多名無效隨從
$FF_FavPortM	將收藏的隨從召喚到身邊
$FF_FavPort	已召喚收藏的隨從
$FF_FavWaitingM	命令所有收藏隨從等待
$FF_FavWaiting	收藏的隨從正在等待
$FF_FavFollowM	命令所有收藏隨從跟隨
$FF_FavRecruitAM	招募所有收藏隨從（加入）
$FF_FavRecruitSM	招募所有收藏隨從（替換）
$FF_FavRecruitA	已招募收藏的隨從
$FF_FavRecruitS	已換入收藏的隨從
$FF_FavFollow	收藏的隨從正在跟隨
$FF_AllWait	所有隨從等待
$FF_AllFollowM	所有隨從跟隨
$FF_AllBehind	所有隨從在我身後
$FF_AllSnap	讓所有隨從清醒過來
$FF_Wait	等待
$FF_Follow	跟隨
$FF_Behind	在我身後
$FF_AllRangeClose	所有隨從 近距離
$FF_AllRangeMedium	所有隨從 中距離
$FF_AllRangeFar	所有隨從 遠距離
$FF_RangeClose	近
$FF_RangeMedium	中
$FF_RangeFar	遠
$FF_TeachNoneR	教授（右手）：無
$FF_TeachNoneL	教授（左手）：無
$FF_Trade	交易
$FF_OpenStorage	開啟隨從儲存空間
$FF_SellItems	出售物品
$FF_SetGear	設定裝備
$FF_HeadwearOff	儲存頭飾：關閉 >
$FF_HeadwearNone	儲存頭飾：無 >
$FF_HeadSetNone	設定為：無
$FF_HeadSetCurrent	目前設定：無
$FF_HeadCombatOn	只在戰鬥中戴頭飾（開啟）
$FF_HeadCombatOff	只在戰鬥中戴頭飾（關閉）
$FF_NoHelmOn	不戴頭飾（開啟）
$FF_NoHelmOff	不戴頭飾（關閉）
$FF_ShieldOff	儲存的盾牌：關閉>
$FF_ShieldNone	儲存的盾牌：無>
$FF_ShieldCombatOn	只在戰鬥中使用盾牌（開啟）
$FF_ShieldCombatOff	只在戰鬥中使用盾牌（關閉）
$FF_ShieldTitle	盾牌
$FF_ShieldApplied	盾牌設定已應用
$FF_Undress	脫衣
$FF_Redress	重新換裝
$FF_RoleStandard	戰鬥角色：標準>
$FF_RoleHealer	戰鬥角色：治療師>
$FF_RoleTank	戰鬥角色：坦克>
$FF_Role_0	標準
$FF_Role_1	治療師
$FF_Role_2	坦克
$FF_Unaggressive	攻擊性：不主動攻擊 >
$FF_Aggressive	攻擊性：主動攻擊 >
$FF_Aggression1	不主動攻擊
$FF_Aggression2	主動攻擊
$FF_AggressionAll	所有隨從的攻擊性 >
$FF_AggressionSet	隨從攻擊性已設定
$FF_AggressionSetAll	所有隨從的攻擊性已設定
$FF_AssistNobody	協助：不協助任何人 >
$FF_AssistAllies	協助：盟友 >
$FF_AssistFriends	協助：朋友與盟友 >
$FF_Assist1	不協助任何人
$FF_Assist2	協助盟友
$FF_Assist3	協助朋友與盟友
$FF_AssistAll	所有隨從的協助方式 >
$FF_AssistSet	隨從協助方式已設定
$FF_AssistSetAll	所有隨從的協助方式已設定
$FF_ConCoward	信心：膽小 >
$FF_ConCautious	信心：謹慎 >
$FF_ConAverage	信心：普通 >
$FF_ConBrave	信心：勇敢 >
$FF_ConFoolhardy	信心：魯莽 >
$FF_ConAll	所有隨從的信心 >
$FF_ConSet	隨從信心已設定
$FF_ConSetAll	所有隨從的信心已設定
$FF_Confidence1	膽小
$FF_Confidence2	謹慎
$FF_Confidence3	普通
$FF_Confidence4	勇敢
$FF_Confidence5	魯莽
$FF_MoralAny	道德：任何罪行 >
$FF_MoralEnemy	道德：敵人與財產犯罪 >
$FF_MoralProperty	道德：僅財產犯罪 >
$FF_MoralNo	道德：拒絕犯罪 >
$FF_MoralSet	隨從道德設定
$FF_MoralSetAll	所有隨從道德設定
$FF_Morality1	任何犯罪
$FF_Morality2	敵人與財產犯罪
$FF_Morality3	僅財產犯罪
$FF_Morality4	拒絕犯罪
$FF_MoralityAll	所有隨從的道德觀 >
$FF_CStyle0	戰鬥風格：預設 >
$FF_CStyle1	戰鬥風格：僱傭兵 >
$FF_CStyle2	戰鬥風格：守衛者 >
$FF_CStyle3	戰鬥風格：狂戰士 >
$FF_CStyle4	戰鬥風格：射手 >
$FF_CStyle5	戰鬥風格：遊俠 >
$FF_CStyle6	戰鬥風格：魔劍士 >
$FF_CStyle7	戰鬥風格：巫師 >
$FF_CStyle8	戰鬥風格：魔法師 >
$FF_CStyle9	戰鬥風格：祭司 >
$FF_CStyle10	戰鬥風格：平衡 >
$FF_CStyle11	戰鬥風格：奧術射手 >
$FF_CStyle12	戰鬥風格：戰鬥祭祀 >
$FF_CombatStyle1	僱傭兵
$FF_CombatStyle2	守衛者
$FF_CombatStyle3	狂戰士
$FF_CombatStyle4	射手
$FF_CombatStyle5	遊俠
$FF_CombatStyle6	魔劍士
$FF_CombatStyle7	巫師
$FF_CombatStyle8	法師
$FF_CombatStyle9	祭司
$FF_CombatStyle10	平衡
$FF_CombatStyle11	奧術弓箭手
$FF_CombatStyle12	戰爭司祭
$FF_LootingTypeOff	戰利品（搜刮）: 關閉 >
$FF_LootingType0	戰利品（搜刮）: 金幣 >
$FF_LootingType1	戰利品（搜刮）: 彈藥 >
$FF_LootingType2	戰利品（搜刮）: 食物 >
$FF_LootingType3	戰利品（搜刮）: 藥水 >
$FF_LootingType4	戰利品（搜刮）：鍊金材料 >
$FF_LootingType5	戰利品（搜刮）: 雜項 >
$FF_LootingType6	戰利品（搜刮）: 武器/彈藥/護甲 >
$FF_LootingType7	戰利品（搜刮）: 護甲 >
$FF_LootingType8	戰利品（搜刮）: 武器 >
$FF_LootingType9	戰利品（搜刮）: 書籍 >
$FF_LootingType10	戰利品（搜刮）: 植物 >
$FF_LootingTitle	戰利品（搜刮）
$FF_LootingOffOn	無 (啟用)
$FF_LootingOn0	金幣 (啟用)
$FF_LootingOn1	彈藥 (啟用)
$FF_LootingOn2	食物 (啟用)
$FF_LootingOn3	藥水 (啟用)
$FF_LootingOn4	鍊金材料（啟用）
$FF_LootingOn5	雜項 (啟用)
$FF_LootingOn6	武器/彈藥/護甲 (啟用)
$FF_LootingOn7	護甲 (啟用)
$FF_LootingOn8	武器 (啟用)
$FF_LootingOn9	書籍(啟用)
$FF_LootingOn10	植物 (啟用)
$FF_LootingOff	無
$FF_Looting0	金幣
$FF_Looting1	彈藥
$FF_Looting2	食物
$FF_Looting3	藥水
$FF_Looting4	鍊金材料
$FF_Looting5	雜項
$FF_Looting6	武器/彈藥/護甲
$FF_Looting7	護甲
$FF_Looting8	武器
$FF_Looting9	書籍
$FF_Looting10	植物
$FF_SendLootType0	傳送戰利品（搜刮）: 物品欄 >
$FF_SendLootType1	傳送戰利品（搜刮）: 隨從儲存空間 >
$FF_SendLootType1alt	傳送戰利品（搜刮）: 服裝背包 >
$FF_SendLootType2	傳送戰利品（搜刮）：玩家儲物箱 >
$FF_SendLootTypeOff	傳送戰利品（搜刮）: 關閉 >
$FF_SendLoot_0	正常物品欄
$FF_SendLootOn_0	正常物品欄 (啟用)
$FF_SendLoot_1	隨從儲存空間
$FF_SendLoot_1alt	服裝背包
$FF_SendLootOn_1	隨從儲存空間(啟用)
$FF_SendLootOn_1alt	服裝背包(啟用)
$FF_SendLoot_2	玩家儲物箱
$FF_SendLootOn_2	玩家儲物箱（啟用）
$FF_On	開啟
$FF_OnSilent	開啟，靜默
$FF_Off	關閉
$FF_Cancel	- 取消 -
$FF_Back	< 後退
$FF_BuildHistory	正在讀取歷史...
$FF_ClickReset	點擊重置
$FF_ClickView	點擊顯示
$FF_Visit	訪問
$FF_Tamriel	泰姆瑞爾大陸
$FF_Teleporting	傳送中...
$FF_CallFollower	召喚...
$FF_TorchesTaken	隨從火把拿取
$FF_TorchesGiven	隨從火把給予
$FF_OpenSell	正在開啟銷售視窗...
$FF_Undressing	正在為隨從脫衣...
$FF_Redressing	隨從正在重新換裝...
$FF_PortOut	傳送結束
$FF_PortIn	召喚結束
$FF_CallToYou	召喚到你身邊
$FF_CallAllToYou	召喚所有隨從到你身邊
$FF_TravelTo	快速旅行到
$FF_None	無
$FF_CanMarry	這個NPC現在可以結婚了。
$FF_CanElope	你可以和這個NPC私奔。
$FF_IsMarry	這個NPC已具備結婚資格。
$FF_CantMarry	這個NPC沒有結婚資格。
$FF_CanFollower	這個NPC現在可以成為隨從了。
$FF_IsFollower	這個NPC已經可以成為一個隨從了。
$FF_CantFollower	這個NPC不能成為隨從。
$FF_HeadwearStored	頭飾儲存
$FF_HeadwearCleared	頭飾清除
$FF_HeadwearApplied	頭飾設定應用
$FF_AreMarried	恭喜你結婚！
$FF_AreMarriedAdd	恭喜你最近的婚姻！
$FF_AreDivorced	你現在離婚了。
$FF_AreDivorcedAdd	你現在少了 1 位配偶。
$FF_MountStyle1	不支援
$FF_MountStyle2	生成的馬匹
$FF_MountStyle3	僅騎乘中支援
$FF_HorseFX1	無
$FF_HorseFX2	火焰
$FF_HorseFX3	寒霜
$FF_HorseFX4	鬼魂
$FF_HorseFX5	暗影
$FF_LightFX0	原版/模組
$FF_LightFX1	冷色調
$FF_LightFX2	暖色調
$FF_LightFX3	中性色調
$FF_LightFX4	請勿施放
$FF_Skill1	鍊金術
$FF_Skill2	變換系
$FF_Skill3	格擋
$FF_Skill4	召喚系
$FF_Skill5	毀滅系
$FF_Skill6	附魔
$FF_Skill7	重甲
$FF_Skill8	幻術系
$FF_Skill9	輕甲
$FF_Skill10	開鎖
$FF_Skill11	箭術
$FF_Skill12	單手武器
$FF_Skill13	扒竊
$FF_Skill14	恢復系
$FF_Skill15	鍛造
$FF_Skill16	潛行
$FF_Skill17	口才
$FF_Skill18	雙手武器
$FF_PerkAlc	鍊金術技能提升
$FF_PerkSkill	通用/一般技能提升
$FF_Resist1	傷害
$FF_Resist2	疾病
$FF_Resist3	毒藥
$FF_Resist4	火焰
$FF_Resist5	電擊
$FF_Resist6	寒霜
$FF_Resist7	法術
$FF_UseDefault	預設
$FF_BoxRadius1	1024.0 單位
$FF_BoxRadius2	2048.0 單位
$FF_BoxRadius3	4096.0 單位
$FF_NoClassSupport	非獨特的
$FF_Class0	- 取消 -
$FF_Class1	刺客
$FF_Class2	野蠻人
$FF_Class3	召喚法師
$FF_Class4	毀滅法師
$FF_Class5	元素法師
$FF_Class6	死靈法師
$FF_Class7	僧侶
$FF_Class8	秘術師
$FF_Class9	夜刃
$FF_Class10	夜鶯
$FF_Class11	遊俠
$FF_Class12	流氓
$FF_Class13	斥候
$FF_Class14	術士
$FF_Class15	魔劍士
$FF_Class16	盜賊
$FF_Class17	單手戰士（1H）
$FF_Class18	雙手戰士（2H）
$FF_Class19	巫刃
$FF_HorseG	使用全域
$FF_Horse0	棕色
$FF_Horse1	黑色
$FF_Horse2	黑白花色
$FF_Horse3	灰色
$FF_Horse4	金黃色
$FF_Horse5	暗影
$FF_Horse6	石塚
$FF_HorseRnd	隨機挑選
$FF_ModName	NFF
$FF_Title	Nether's 隨從框架
$FF_Version	隨從框架版本
$FF_Page1	啟用
$FF_Page2	遊戲玩法
$FF_Page3	互動
$FF_Page4	系統
$FF_Page5	隨從除錯
$FF_Page6	隨從資料
$FF_Page7	隨從技能
$FF_Page8	隨從能力
$FF_Page9	隨從服裝與裝備
$FF_Page10	據點
$FF_Page11	欄位與歷史
$FF_TitlePage1	隨從框架 - 啟用
$FF_TitlePage2	隨從框架 - 遊戲性
$FF_TitlePage3	隨從框架 - 任務與對話
$FF_TitlePage4	隨從框架 - 系統
$FF_TitlePage5	隨從框架 - 隨從除錯
$FF_TitlePage6	隨從框架 - 隨從資料
$FF_TitlePage7	隨從框架 - 隨從技能
$FF_TitlePage8	隨從框架 - 隨從能力
$FF_TitlePage9	隨從框架 - 隨從服裝與裝備
$FF_TitlePage10	隨從框架 - 據點
$FF_TitlePage11	隨從框架 - 欄位與歷史
$FF_SayAnimalRecruit	嘿，小狗，想來嗎？
$FF_SayTrade	我要和你交換物品。
$FF_SayBehind	你可以到我身後嗎？
$FF_SayBladesRecruit	我想招募你進刀鋒衛士。
$FF_SayBladesDeny	我不想招募你進刀鋒衛士。
$FF_SayCheckCount	我想我的隊伍還有你的位置。
$FF_SayDivorceInitial	我想我們應該結束這場婚姻。
$FF_SayDivorceJoke	我只是開玩笑。
$FF_SayDivorceFinal	我想我們不應該在一起。
$FF_SayExpel	我不再需要你的幫助了(驅逐)。
$FF_SayExport	[從框架中移除（匯出）]
$FF_SayStewardRemove	我不需要你做我的管家了。
$FF_SayDismissFamily	我想你是時候回家了。
$FF_SayDismissGuard	我不需要你的侍奉了。
$FF_SayDoSomething	我需要你做些事。
$FF_SayFollow	跟著我。
$FF_SayShowYou	對，我來告訴你。
$FF_SayNeverMind	不，沒事。
$FF_SayRecruitNo	想了想，別管了。
$FF_SayRecruitFamily	想和我一起去冒險嗎？
$FF_SayRecruitAgain	介意再和我一起嗎？
$FF_SayRecruitGuard	我想僱你和我一起。
$FF_SayWait	在這裡等著。
$FF_SayImport	[加入框架（匯入）]
$FF_SayDivorceSorry	我很抱歉事情變成這樣。
$FF_SayPayExplain	關於你的工資...
$FF_SayPayBroke	我沒有多餘的金幣給你。
$FF_SayPayGold	這是我欠你的錢。
$FF_SayPayDeny	我只是現在沒有這麼多錢。
$FF_SaySellItems	我想要你幫我賣點東西。
$FF_SaySubmenu	我要佔用你一點時間。(NFF)
$FF_SaySubreturn	算了。
$FF_SayShake	嘿！振作起來！（修復小問題）
$FF_SayElope	我想我們應該永遠在一起。（私奔）
$FF_SayElopeYes	是的，永遠在一起。
$FF_SayElopeNo	想了想， 不！
$FF_SayTeach	我想教你個新法術。
$FF_LootingChooseOff	不要搜刮任何東西。
$FF_LootingChoose0	留意金幣。
$FF_LootingChoose1	留意彈藥。
$FF_LootingChoose2	留意食物。
$FF_LootingChoose3	留意藥水。
$FF_LootingChoose4	留意材料。
$FF_LootingChoose5	留意各種雜項。
$FF_LootingChoose6	留意武器/彈藥/盔甲。
$FF_LootingChoose7	留意盔甲。
$FF_LootingChoose8	留意武器。
$FF_LootingChoose9	留意書籍。
$FF_LootingChoose10	留意植物。
$FF_LootingChooseForget	嗯，沒關係。
$FF_LootingChangeOff	我希望你和我在一起的時候能搜刮一些東西。
$FF_LootingChange0	我希望你能搜刮一些不同的東西(目前：金幣)。
$FF_LootingChange1	我希望你能搜刮一些不同的東西(目前：彈藥)。
$FF_LootingChange2	我希望你能搜刮一些不同的東西(目前：食物)。
$FF_LootingChange3	我希望你能搜刮一些不同的東西(目前：藥水)。
$FF_LootingChange4	我希望你能搜刮一些不同的東西(目前：材料)。
$FF_LootingChange5	我希望你能搜刮一些不同的東西(目前：雜項)。
$FF_LootingChange6	我希望你能搜刮一些不同的東西(目前：武器/彈藥/盔甲)。
$FF_LootingChange7	我希望你能搜刮一些不同的東西(目前：盔甲)。
$FF_LootingChange8	我希望你能搜刮一些不同的東西(目前：武器)。
$FF_LootingChange9	我希望你能搜刮一些不同的東西(目前：書籍)。
$FF_LootingChange10	我希望你能搜刮一些不同的東西(目前：植物)。
$FF_SendLootChoose0	我想要你把戰利品儲存在你的物品欄。
$FF_SendLootChoose1	我想要你把戰利品儲存在隨從儲存空間。
$FF_SendLootChooseAlt1	我想要你把戰利品儲存在服裝背包。
$FF_SendLootChoose2	我想要你把戰利品儲存在玩家保險箱。
$FF_SendLootChooseForget	我改變主意了。
$FF_SendLootChange0	我希望你在另一個地方儲存戰利品(目前：物品欄)
$FF_SendLootChange1	我希望你在另一個地方儲存戰利品(目前：隨從儲存空間)
$FF_SendLootChangeAlt1	我希望你在另一個地方儲存戰利品(目前：服裝背包)
$FF_SendLootChange2	我希望你在另一個地方儲存戰利品(目前：玩家保險箱)
$FF_OutfitChangeMenu	我想給你換一套服裝。
$FF_OutfitCreateMenu	我想給你設計一套服裝。
$FF_OutfitCreateBase	我想讓你穿一套標準服裝。
$FF_OutfitChangeBase	我想給你換一套標準服裝。
$FF_OutfitCreateTown	我想讓你穿城裡的服裝。
$FF_OutfitChangeTown	我想給你換一套城裡的服裝。
$FF_OutfitCreateHome	我想讓你穿居家服裝。
$FF_OutfitChangeHome	我想給你換套居家服裝。
$FF_OutfitRemoveMenu	我想移除一套服裝。
$FF_OutfitRemoveBase	我想把你的標準服裝移除。
$FF_OutfitRemoveTown	我想把你的城鎮服裝移除。
$FF_OutfitRemoveHome	我想把你的居家服裝移除。
$FF_OutfitSatchel	開啟你的服裝背包。
$FF_RoleChange0	我想改變你的戰鬥角色(目前：標準)
$FF_RoleChange1	我想改變你的戰鬥角色(目前：治療師)
$FF_RoleChange2	我想改變你的戰鬥角色(目前：坦克)
$FF_RoleChoose0	我希望你扮演一個平衡的、標準的角色。
$FF_RoleChoose1	我希望你在戰鬥中治療我和我的同伴。
$FF_RoleChoose2	我希望你在戰鬥中嘲諷敵人。
$FF_RoleChooseForget	再考慮一下，只要保持你目前的角色就行了。
$FF_Sandbox	沙盒
$FF_Sandbox_0	關閉
$FF_Sandbox_1	允許
$FF_Sandbox_2	允許／城鎮內自動沙盒
$FF_Sandbox_3	允許／家中自動沙盒
$FF_SandboxDS	玩家短暫閒置時，允許隨從進行沙盒活動。自動沙盒會讓隨從在城鎮室內、玩家住處與自訂地點持續進行沙盒活動。此功能以 AI 套件實作。\n（預設：開啟）
$FF_AllowSandbox	沙盒風格
$FF_RelaxRadius	放鬆半徑
$FF_RelaxRadiusDS	隨從沙盒活動的半徑。半徑會隨著玩家移動而逐漸移動。\n（預設： 2048單位)
$FF_RelaxTime	放鬆閒置時間
$FF_RelaxTimeDS	在隨從進入沙盒模式之前，玩家空閒的時間。\n（預設：5秒）
$FF_RelaxRamp	放鬆加速
$FF_RelaxRampDS	當玩家移動（衝刺/跑步）時，隨從停止沙盒行為必需的秒數。\n（預設：3秒）
$FF_RelaxAvoid	放鬆迴避
$FF_RelaxAvoidDS	沙盒時隨從自由活動和玩家間隔的距離。如果隨從在你靠近他們時太頻繁地遠離，請減少這個值。\n（預設：45單位）
$FF_ToggleFurn	忽視特殊傢俱
$FF_ToggleFurnDS	隨從會忽略那些可以與之互動的特殊傢俱，比如熔爐、伐木堆等。它們仍然可以使用空閒標記。\n（預設：關閉）
$FF_ToggleBoxdlg	對話時停止
$FF_ToggleBoxdlgDS	如果啟用，當玩家在對話時，隨從將停止沙盒。這是為了模擬隨從對正在發生的事情表現出關注。\n（預設：關閉）
$FF_ToggleTown	只在城鎮啟用沙盒
$FF_ToggleTownDS	隨從僅在城市、城鎮、住宅或玩家定義的自訂位置時使用沙盒。\n（預設：關閉）
$FF_ToggleDungeon	只在非地下城啟用沙盒
$FF_ToggleDungeonDS	隨從僅在沒有標記為地下城的位置進行沙盒(透過關鍵字)。\n(預設值：關閉)
$FF_AutoboxExt	戶外自動沙盒
$FF_AutoboxExtDS	僅當「自動沙盒」在上級選單「沙盒」下拉式清單中處於活動狀態時才有效，這允許隨從在城市、城鎮和玩家住宅外部自動沙盒，而無需將其專門新增到自訂位置列表中。\n（預設：關閉）
$FF_MultiBox	多層沙盒
$FF_MultiBoxDS	如果啟用，則允許隨從（和其他NPC）在多層結構的樓層之間進行沙盒操作。\n（預設：關閉）
$FF_CustomBoxDS	將此區域設定為一個自訂位置，當隨從僅在城鎮中使用沙盒或在城鎮內部使用自動沙盒時，將沙盒設定在該位置。\n（預設：關閉）
$FF_KeyTogBox	切換沙盒熱鍵
$FF_KeyTogBoxDS	設定用於開啟和關閉沙盒的鍵。這可以與命令隨從功能分開使用。
$FF_Stealth	潛行
$FF_ToggleStealth	提高潛行AI
$FF_ToggleStealthDS	讓隨從在你潛行的時候表現得更好。他們不會在你潛行時攻擊，除非他們或你在戰鬥中被擊中。它基於AI 套件和一些腳本。\n（預設：開啟）
$FF_ToggleEnhSneak	增強潛行
$FF_ToggleEnhSneakDS	跟隨玩家潛行的隨從會提升潛行能力，大幅增加他們的潛行能力，他們幾乎無法被探測到。需要「提高潛行AI」才能啟用。\n（預設：開啟)
$FF_Extinguish	隱形時熄滅火把
